,Range,Mean_Pitch,Major_or_Minor,Chromatic_Motion,Direction_of_Melodic_Motion,Melodic_Pitch_Variety,Note_Density,Average_Note_Duration,Rhythmic_Variability
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1000.mid",38.0, 47.0, 0.0, 0.01176, 0.6039, 3.015, 8.0, 0.1218, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1001.mid",38.0, 51.0, 0.0, 0.0, 0.0, 5.783, 1.125, 1.778, 0.04522
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1004.mid",46.0, 51.0, 0.0, 0.0, 0.5039, 3.908, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1010.mid",39.0, 47.0, 0.0, 0.0, 0.3333, 4.133, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1012.mid",12.0, 44.0, 0.0, 0.3571, 0.3846, 4.304, 3.809, 0.2188, 0.02452
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1014.mid",8.0, 50.0, 0.0, 0.1852, 0.5385, 2.905, 3.675, 0.1998, 0.02605
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1015.mid",13.0, 48.0, 0.0, 0.2188, 0.4348, 6.28, 4.403, 0.1478, 0.01996
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1016.mid",10.0, 49.0, 0.0, 0.32, 0.2667, 3.524, 3.415, 0.1965, 0.0261
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1018.mid",10.0, 45.0, 0.0, 0.1429, 0.6, 3.812, 2.888, 0.2273, 0.02758
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 102.mid",7.0, 65.0, 0.0, 0.1731, 0.5, 2.872, 3.533, 0.1168, 0.02435
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1020.mid",8.0, 52.0, 0.0, 0.1111, 0.75, 3.87, 3.689, 0.1821, 0.02305
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1022.mid",8.0, 50.0, 0.0, 0.1818, 0.5294, 2.724, 4.536, 0.1911, 0.02844
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1026.mid",13.0, 47.0, 0.0, 0.36, 0.4118, 2.667, 3.415, 0.224, 0.02598
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1027.mid",8.0, 64.0, 0.0, 0.2143, 0.4375, 3.583, 3.809, 0.2208, 0.02617
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 103.mid",12.0, 55.0, 0.0, 0.0, 0.5263, 4.639, 5.175, 0.1302, 0.02325
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1030.mid",12.0, 48.0, 0.0, 0.1538, 0.6364, 4.571, 3.68, 0.2331, 0.03489
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1033.mid",8.0, 50.0, 0.0, 0.25, 0.1667, 4.188, 2.758, 0.2275, 0.03109
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1034.mid",10.0, 50.0, 0.0, 0.4583, 0.3889, 4.632, 3.283, 0.2046, 0.02468
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1035.mid",10.0, 47.0, 0.0, 0.2143, 0.3333, 3.667, 3.953, 0.2034, 0.02568
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1036.mid",10.0, 51.0, 0.0, 0.2609, 0.5385, 3.944, 3.152, 0.2232, 0.02528
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1038.mid",17.0, 59.0, 0.0, 0.0, 0.5333, 3.091, 2.133, 0.4688, 0.04529
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 104.mid",6.0, 69.0, 0.0, 0.0339, 0.5208, 3.036, 4.035, 0.1042, 0.02343
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1041.mid",12.0, 62.0, 0.0, 0.0, 0.4545, 3.115, 4.687, 0.1382, 0.03076
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1042.mid",12.0, 74.0, 0.0, 0.0, 0.4545, 3.115, 4.687, 0.1382, 0.03076
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 105.mid",40.0, 50.0, 0.0, 0.02941, 0.2647, 7.969, 3.0, 0.6667, 0.03567
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 106.mid",43.0, 51.0, 0.0, 0.0, 0.3333, 3.833, 4.002, 0.2344, 0.0348
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 107.mid",43.0, 50.0, 0.0, 0.0, 0.6561, 3.949, 8.095, 0.1198, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 110.mid",41.0, 53.0, 0.0, 0.0, 0.3333, 3.956, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 112.mid",41.0, 49.0, 0.0, 0.0, 0.3333, 3.991, 8.001, 0.1198, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 114.mid",29.0, 56.0, 0.0, 0.0, 0.3333, 3.995, 8.0, 0.125, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 115.mid",8.0, 34.0, 0.0, 0.0, 0.5, 4.0, 0.3125, 3.2, 0.0
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 116.mid",26.0, 55.0, 0.0, 0.0, 0.381, 3.75, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1173.mid",17.0, 61.0, 0.0, 0.0, 0.4, 3.0, 0.7505, 1.807, 0.03903
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 1174.mid",46.0, 53.0, 0.0, 0.0, 0.3333, 3.963, 8.001, 0.1198, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 118.mid",26.0, 62.0, 0.0, 0.0, 0.3451, 3.004, 8.001, 0.1233, 0.01872
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 119.mid",7.0, 38.0, 0.0, 0.0, 0.6667, 3.833, 0.3125, 3.2, 0.07881
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 120.mid",27.0, 51.0, 0.0, 0.0, 0.3333, 4.18, 8.005, 0.1198, 0.02424
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 121.mid",27.0, 52.0, 0.0, 0.0, 0.0, 1.455, 3.0, 1.333, 0.04329
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 124.mid",15.0, 79.0, 0.0, 0.005464, 0.3497, 4.047, 14.38, 0.06957, 0.01491
